OBJECT_ID,Redshift,log_z,MeasuredFlux,ErrorMeasuredFlux,stretch,stretchError,color,colorError,miu,miuError,extinction,extinctionError
SNLS-04D3kr,0.337,-0.4723700991,21.967,0.003,1.064,0.004,0.072,0.003,41.259,0.01,0.01576,0.007690936224
SNLS-04D3ks,0.752,-0.1237821594,23.882,0.035,1.013,0.037,0.026,0.043,43.17,0.09,0.02106,0.08786659035
SNLS-04D3lp,0.983,-0.007446482168,24.925,0.168,0.831,0.049,0.022,0.211,43.941,0.496,0.29142,0.3395395166
SNLS-04D3lu,0.822,-0.08512818246,24.342,0.04,0.95,0.028,0.019,0.116,43.544,0.218,0.10583,0.1870268644
SNLS-04D3ml,0.95,-0.02227639471,24.552,0.082,1.182,0.015,0.117,0.122,43.954,0.268,-0.09295,0.1928922279
SNLS-04D3nc,0.817,-0.08777794347,24.271,0.048,1.111,0.064,0.062,0.14,43.652,0.254,-0.07138,0.2403652188
SNLS-04D3nh,0.34,-0.468521083,22.137,0.004,1.011,0.006,0.089,0.004,41.323,0.012,0.12301,0.01107306642
SNLS-04D3nr,0.96,-0.01772876696,24.542,0.075,0.922,0.045,0.07,0.11,43.622,0.234,0.22846,0.1857521198
SNLS-04D3ny,0.81,-0.09151498112,24.272,0.05,1.005,0.084,-0.065,0.152,43.691,0.301,-0.10965,0.2706496481
SNLS-04D3oe,0.756,-0.1214782045,24.069,0.026,0.783,0.028,-0.259,0.033,43.453,0.058,-0.07679,0.06704945712
SNLS-04D4an,0.613,-0.2125395255,24.022,0.023,0.823,0.025,0.064,0.025,42.961,0.061,0.36952,0.05463114954
SNLS-04D4bk,0.84,-0.07572071394,24.314,0.037,1.05,0.051,0.142,0.098,43.475,0.185,0.14694,0.1722853737
SNLS-04D4bq,0.55,-0.2596373105,23.362,0.02,0.995,0.029,0.112,0.027,42.487,0.056,0.18344,0.06115520011
SNLS-04D4dm,0.811,-0.09097914579,24.39,0.044,1,0.057,-0.161,0.15,43.95,0.264,-0.25277,0.2509317429
SNLS-04D4dw,0.961,-0.01727661233,24.566,0.093,0.962,0.058,-0.117,0.138,44,0.29,-0.12593,0.233909686
